Id,WnvPresent
1,1.4445387065147892e-08
2,3.7287041713566965e-09
3,6.1031021173025335e-08
4,1.9879036848407583e-08
5,6.4928537732629814e-11
6,9.6429981571587576e-12
7,6.1031021173025335e-08
8,9.4072879044234788e-49
9,1.0063191299530645e-08
10,2.3201233713187521e-09
11,4.7175294247648351e-08
12,1.1978598209585922e-08
13,4.3993615811736357e-11
14,8.5885552326726285e-12
15,4.7175294247648351e-08
16,7.1444307043764195e-49
17,1.4436672358161402e-08
18,3.7128985495689502e-09
19,6.1591287554009953e-08
20,2.0541126984034391e-08
21,6.0893530773731553e-11
22,1.0510879298483374e-11
23,6.1591287554009953e-08
24,9.7619825514553617e-49
25,1.1551788362789833e-07
26,2.9524763984437916e-08
27,4.3406667929693163e-07
28,4.0899980572309738e-08
29,3.9711016261831995e-10
30,1.4665507886645532e-11
31,4.3406667929693163e-07
32,2.0080920084889004e-48
33,1.3548240594486635e-07
34,3.5990822352269135e-08
35,5.0100959301993155e-07
36,4.4396847954440316e-08
37,5.0617995421005928e-10
38,1.3827918849405703e-11
39,5.0100959301993155e-07
40,2.1281332800025149e-48
41,1.6042303574668496e-07
42,4.4682718154262328e-08
43,5.8498324098447674e-07
44,5.018108273991923e-08
45,6.3102328660222901e-10
46,1.3721769819083402e-11
47,5.8498324098447674e-07
48,2.313408069218347e-48
49,1.310817187108009e-07
50,3.4474402749121567e-08
51,4.8662390534988827e-07
52,4.3485789621741445e-08
53,4.8411120717205985e-10
54,1.3891231062644476e-11
55,4.8662390534988827e-07
56,2.0962103733739454e-48
57,1.2881764596181964e-07
58,3.5130886676628105e-08
59,4.7303824919688069e-07
60,5.1447979854746997e-08
61,4.3998980837675305e-10
62,1.6479592843905873e-11
63,4.7303824919688069e-07
64,2.2697885577894442e-48
65,1.01222000632366e-07
66,2.4322623550821851e-08
67,4.032715238863842e-07
68,3.100456602043226e-08
69,3.4536337125215851e-10
70,1.2685277165928737e-11
71,4.032715238863842e-07
72,1.740693441522064e-48
73,6.2764731002740291e-07
74,1.8661178463145072e-07
75,1.8087548607465627e-06
76,1.1905550373877852e-07
77,3.0910744191036721e-09
78,1.3524927197270756e-11
79,1.8087548607465627e-06
80,4.7644120998093231e-48
81,1.6301403293471398e-07
82,4.5159441365981085e-08
83,6.046915382535119e-07
84,4.9263183516270358e-08
85,6.4781577691757603e-10
86,1.3412542477041789e-11
87,6.046915382535119e-07
88,2.3015478184319756e-48
89,4.8633346244332757e-07
90,1.4415648521478405e-07
91,1.4613760490378272e-06
92,1.0194575670738565e-07
93,2.3310675091725702e-09
94,1.3266408532846403e-11
95,1.4613760490378272e-06
96,4.0654870472600423e-48
97,4.5766351081646671e-07
98,1.4013498282844782e-07
99,1.3481974966924368e-06
100,1.082134251346048e-07
101,2.2096091772460592e-09
102,1.3841362652771674e-11
103,1.3481974966924368e-06
104,4.099624624401618e-48
105,1.1569592740812495e-07
106,2.834320470577312e-08
107,4.7549236084365055e-07
108,3.1167012370103503e-08
109,4.2952877997648931e-10
110,1.1548570003122318e-11
111,4.7549236084365055e-07
112,1.7826675233693345e-48
113,1.1390947212921566e-08
114,2.6603001157088117e-09
115,5.2362148234036153e-08
116,1.4705136263392477e-08
117,4.6206449395420541e-11
118,9.5519562164786061e-12
119,5.2362148234036153e-08
120,7.8950585111648643e-49
121,6.8968428083122615e-08
122,1.5261618617803245e-08
123,3.0385565998247383e-07
124,2.4956627135819364e-08
125,1.710262859044611e-10
126,1.6068337906439368e-11
127,3.0385565998247383e-07
