Id,WnvPresent
1,0.000824812465026
2,0.000851364449942
3,0.000672459450211
4,0.00039060584702
5,0.00039060584702
6,0.00039060584702
7,0.000672459450211
8,0.00039060584702
9,0.000790863308405
10,0.000857216923569
11,0.000616723473995
12,0.000395393089675
13,0.000395393089675
14,0.000395393089675
15,0.000616723473995
16,0.000395393089675
17,0.000814370454709
18,0.000920603507497
19,0.000645110543128
20,0.000399903620958
21,0.000399903620958
22,0.000399903620958
23,0.000645110543128
24,0.000399903620958
25,0.000711418201031
26,0.000724783835297
27,0.000461130665992
28,0.000336405170383
29,0.000336405170383
30,0.000336405170383
31,0.000461130665992
32,0.000336405170383
33,0.000610839626043
34,0.000957784397127
35,0.000434800670229
36,0.00038225268815
37,0.00038225268815
38,0.00038225268815
39,0.000434800670229
40,0.00038225268815
41,0.000722602279022
42,0.00103067159843
43,0.000529787252345
44,0.000395996680445
45,0.000395996680445
46,0.000395996680445
47,0.000529787252345
48,0.000395996680445
49,0.00067655114183
50,0.000968167188168
51,0.000426606417665
52,0.000382252821599
53,0.000382252821599
54,0.000382252821599
55,0.000426606417665
56,0.000382252821599
57,0.000679355095114
58,0.000680903872729
59,0.000517307710188
60,0.000357844769989
61,0.000357844769989
62,0.000357844769989
63,0.000517307710188
64,0.000357844769989
65,0.000675223560862
66,0.000793973247165
67,0.000519607337484
68,0.000414656427884
69,0.000414656427884
70,0.000414656427884
71,0.000519607337484
72,0.000414656427884
73,0.0011151915353
74,0.0010751273698
75,0.000718657173083
76,0.000412600457782
77,0.000412600457782
78,0.000412600457782
79,0.000718657173083
80,0.000412600457782
81,0.000646606405059
82,0.00100174310447
83,0.000485770289451
84,0.000398254670121
85,0.000398254670121
86,0.000398254670121
87,0.000485770289451
88,0.000398254670121
89,0.00132989791405
90,0.000931717980322
91,0.000983418118783
92,0.000418522097032
93,0.000418522097032
94,0.000418522097032
95,0.000983418118783
96,0.000418522097032
97,0.00130783185235
98,0.000856598051744
99,0.000914170112179
100,0.000383370104741
101,0.000383370104741
102,0.000383370104741
103,0.000914170112179
